0.03483235	
0.03930227	
0.04944908	
0.0595969	
0.06976171	
0.07989852	
0.09007433	
0.1002641	
0.110434	
0.1206168	
0.1307256	
0.1409454	
0.1511592	
0.161285	
0.1714368	
0.1816066	
0.1917614	
0.2019903	
0.2121211	
0.2223179	
0.2324667	
0.2425745	
0.2528543	
0.2629851	
0.2731299	
0.2832498	
0.2933906	
0.3036674	
0.3137672	
0.323941	
0.3341348	
0.3444256	
0.3544084	
0.3645682	
0.3747111	
0.3849379	
0.3950367	
0.4052805	
0.4154703	
0.4255171	
0.4356449	
0.4457887	
0.4559606	
0.4661484	
0.4763002	
0.486476	
0.4967448	
0.5067326	
0.5169344	
0.5270602	
0.537203	
0.5479608	
0.5581347	
0.5682335	
0.5783513	
0.5886491	
0.5988249	
0.6090057	
0.6191895	
0.6293033	
0.6396611	
0.649717	
0.6598568	
0.6703436	
0.6801844	
0.6903462	
0.700532	
0.7107118	
0.7209566	
0.7330084	0.00131007802	0	-0.0161432145	-0.0174532925	
0.7451952	0.0035263766	0	-0.0139269159	-0.0174532925	
0.753609	0.00538652813	0	-0.0120667644	-0.0174532925	
0.7637038	0.0082808069	0	-0.00917248562	-0.00872664626	
0.7740027	0.0118791492	0.00872664626	-0.00557414335	0	
0.7840895	0.0160031308	0.00872664626	-0.00145016174	0	
0.7942323	0.0207712029	0.00872664626	0.00331791042	0.00872664626	
0.8043801	0.0261733646	0.00872664626	0.00872007204	0.0174532925	
0.8145419	0.0321776453	0.00872664626	0.0147243527	0.034906585	
0.8248287	0.0389065468	0.00872664626	0.0214532543	0.034906585	
0.8352805	0.0464129437	0.00872664626	0.0289596512	0.0436332313	
0.8453713	0.0542434915	0.0174532925	0.036790199	0.0523598776	
0.8555961	0.0628176141	0.0261799388	0.0453643216	0.0523598776	
0.865648	0.0718437526	0.034906585	0.0543904601	0.0523598776	
0.8760488	0.0818544793	0.0436332313	0.0644011867	0.0523598776	
0.8860216	0.0920238991	0.0523598776	0.0745706065	0.0610865238	
0.8961294	0.102953316	0.0698131701	0.0855000232	0.0610865238	
0.9062852	0.114558546	0.0785398163	0.0971052538	0.0698131701	
0.916481	0.126826922	0.0872664626	0.109373629	0.0785398163	
0.9271238	0.140334948	0.104719755	0.122881655	0.0872664626	
0.9374176	0.154031064	0.122173048	0.136577771	0.104719755	
0.9476344	0.168233178	0.13962634	0.150779886	0.113446401	
0.9577563	0.182920581	0.148352986	0.165467288	0.13962634	
0.9679591	0.198352493	0.174532925	0.180899201	0.148352986	
0.9898967	0.235204258	0.20943951	0.217750965	0.191986218	
0.9943986	0.242641298	0.20943951	0.225188006	0.200712864	
